0 -9.0566 -9.0328 -8.738 -9.2227 -9.1325 14.807 15.428 11.51 16.023
1 -8.9016 -9.2594 16.006 -9.2908 -8.7236 14.829 -8.2102 15.83 16.649
2 -9.0303 -9.1127 -8.9359 -9.4072 -8.9742 14.973 15.232 15.886 16.3
3 -9.0612 -9.1351 -8.9383 -9.3744 -8.9466 14.927 15.434 16.055 16.204
4 -9.1274 -9.1769 -8.9176 -9.3302 -8.895 14.819 15.234 16.025 16.303
5 -8.8269 -9.0505 15.233 -8.9204 -8.5793 14.984 -9.0347 15.737 16.521
6 -9.092 -9.0479 -8.5774 -9.1592 -8.0123 15.017 15.444 10.647 16.164
7 -9.1332 -9.1987 -8.5919 -9.3314 -8.9449 15.022 15.857 15.922 16.34
8 -8.9544 -9.0732 -8.8933 -9.1392 -8.794 14.945 15.133 11.568 16.418
9 -8.8039 -9.1462 -8.9632 -9.3654 -8.7947 15.028 15.551 15.92 16.549
