0 -1.9881 -0.4735 8.1538
1 -1.8996 2.045 7.9103
2 -1.5193 0.81504 8.0292
3 -1.1989 -0.57544 7.6965
4 -1.6369 0.28111 6.8762
5 -1.1096 1.4828 4.276
6 -1.7158 -1.9541 4.9777
7 -2.4532 0.31292 7.3162
8 -1.8316 1.3532 8.1834
9 -2.7604 2.2277 6.7568
10 -2.9868 1.1149 6.855
11 -2.1992 2.9155 5.5706
12 -2.014 -0.61751 5.5829
13 -0.91948 1.7275 7.9653
14 -1.6658 3.0283 8.4016
15 -4.0485 0.94539 6.3134
16 -1.6832 0.83163 7.8506
17 -1.7235 2.7553 7.76
18 -2.4645 0.69224 7.8652
19 -1.2097 2.2266 7.8387
